category,emojiSet,answer
food,🧈🥃,butterscotch
words,🌧🥼,raincoat
nature,🌞💡,sunlight
nature,🌞🌼,sunflower
nature,⬛🕳,black hole
nature,🐱🐟,catfish
words,🐕🏠,doghouse
nature,🐉🦋,dragonfly
food,🐟🍟,fish and chips
words,👍🌛,Goodnight
words,🚌👦,busboy
words,🛒🎡,cart wheel
words,❌🎀,crossbow
words,💀🔚,dead end
food,🔥🍪,firecracker
words,🦶⚾️,football
food,🧊🐮,ice cream
food,🥵🐕,hot dog
words,📬🧑,mailman
words,🌧🎀,rainbow
words,❄⚽️,snowball
words,🌌🛳,spaceship
words,🍵🥄,teaspoon
words,🆙️🏋️‍♂️,uplift
words,🏋️‍♂️🆙️,push up
food,💦🍈,watermelon
words,📖💼,book case
words,🔙🌌,backspace
words,🔔 👦,bell boy
nature,🟦🦜,blue bird
words,🔥🧱,firewall
food,🥜🍓🥪,Peanut butter Jelly sandwich
food,🔥🍳🍚,fried rice
words,👴🏼🧦,old socks
words,🌙🦉,night owl
food,🇰🇷🍾,soju
words,👁📞,Iphone
words,💡🏠,lighthouse
food,🍳🎂,pancake
words,🐄👱‍♀️,cowgirl
food,☕🎂,Cupcake
words,📬📦,mailbox
food,🧀🍔,cheeseburger
food,🥓🥚,bacon and eggs
food,🧀🥓,cheese and bacon
words,🕯🏑,candlestick
words,🪓🏑,chopsticks
nature,🐚🐠,shellfish
words,🐃👁,bullseye
food,🔥🍲,hot pot
words,📝📖,notebook
words,🥋🪓,karate chop
words,⛲🖊,fountain pen
words,🏠📝,homework
words,🛑💡,stop light
nature,⭐🐟,starfish 
nature,👩🐦,ladybird
food,🥛🤝,milkshake
words,👄🏑,lipstick
words,🌳🏠,treehouse
words,🏠🏘,Hometown
words,🏖🏰,sandcastle
nature,🤡🐟,clownfish
words,🦰💍,red herring
words,🏕🔥,camp fire
words,🛩🤴,planking
words,🌊🍔🍟,Seafood
Food,🥚🌱,eggplant
nature,🍎🌳,apple tree
words,👨‍🍳📖,cookbook
words,🧺⚾️,basketball
words,🐴👠,horseshoe 
words,🔑📋,keyboard
words,🚢🏚,shipwreck
words,🚽📃,toilet paper
words,🎼📝,musical note
nature,☀️🍁❄️🌱,seasons
words,🛣🛑,roadblock
words,💲🏷,price tag
words,💰❌🏦,bankrupt
words,🥶👣,cold feet
words,🧸🐻,Teddy bear
words,💪🪑,armchair
words,🆓️🖐,freehand
words,😀🌴,facepalm
words,☁️9️⃣,cloud nine
words,👰🤵,bridegroom
words,🕳⬇️1️⃣,hole in one
words,🦊🕺💃🏼,foxtrot
words,🏠🏃‍♂️,homerun
words,🆓️🐝,freebie
nature,🐝🕯,beeswax
words,🐮👦🏻,cowboy
words,🥛🧍🏻‍♂️,milkman
nature,🍯🐝,honeybee
words,📖🐛,bookworm
words,🚪🛎,doorbell
food,🐯🦐,tiger prawn
words,🚀🐔,shuttlecock
words,🧩🧩🧩,Jigsaw puzzle
words,🚘😷,carsick
words,✈️😷,airsick
words,🌊🤢,seasick
words,👮‍♂️🚔,police car
words,🐶❤️,puppy love
words,❤️✉️,love letter
words,🌜🚶🏻‍♀️,moon walk
words,💪🆚️💪,arm wrestle
nature,🔵🐳,blue whale
words,👁📞🔟,iphone X
words,🌞👓,sunglasses
food,🎃🥧,pumpkin pie
Holiday,🎃👻🍬🍭,halloween
Food,🧀🍰,cheesecake
words,⛳️♣️,golf club
words,🎉🥳🚌,party bus 
words,⌚️🐶,watchdog
words,🎂🥳🎉,birthday party
words,🍎📺,apple tv
words,🚘💦🧽,carwash
words,🎾👟,tennis shoes
food,🔮🥠,fortune cookie
words,🔥🔔,fire alarm
words,📞📓,phonebook
words,💧🔫,water gun
words,🏹💘😇,cupid
food,🇫🇷🍟,French fries
words,👨‍👩‍👦👩‍👧‍👦🌳,family tree
words,👂💍,earring
words,🕸📷,webcam
food,💡🍺,light beer
words,👰🏻👗,wedding dress
words,🦷🤕,toothache
food,🔵🧀,blue cheese
words,🌳🛏🌳,hammock
words,🆔💳,Identity card
words,🟥✉️,red packet
words,🎓🎉,graduation
words,🧊⛸,ice skating
words,🤽‍♀️🔙,throwback
words,⏰💊,time capsule
words,🔍🥛,magnifying glass
words,🛹👦🏻,skaterboy
words,🛹👧🏻,skatergirl
words,⚖️👩🏻‍⚖️,judge
nature,🦑✒️,squid ink
words,📍👈,pinpoint
words,👆🎨,fingerpaint
food,🌽🍞,cornbread
food,🌽🥣,Corn soup
food,🇰🇷🥬🔥,kimchi
words,👅👔,tongue tied
nature,👍⚪️🦈,Great White Shark
words,⚪️🚩,White flag
words,🏴‍☠️🚢,pirate ship
words,🌧🐱🐶,raining cats and dogs
words,🐌✉️,snail mail
words,👔💼,suitcase
words,🗻🔝,mountain top
words,🖱🎣,click bait
words,👄💂‍♂️,mouth guard
words,🖐✌✊,paper scissors rock
words,🦶🖨,footprint
words,☝️🖨,fingerprint
words,💀🥩,dead meat
words,🌽🦵,corny
words,🧀🌊,cheesy
words,⭐🚢,starship
words,🔥🏗🏗,fireworks
words,♠️♣️♥️♦️💰💸,Poker
words,📃✈️,Paper plane
Food,🦔🍰,Hedgehog Cake
words,🇧🇷🕺💃🏼,Samba
words,☮️🕊,Peace
words,📌⬆️👩,pin up girl
words,🥊😵,knockout
nature,💧🌷,Water lilies
words,🎼🎹🎷🎺🎻,orchestra
words,✝️📖,Bible
pandemics,🦠😷🤒🤧1️⃣9️⃣,COVID-19
words,🐶🐾,Dog paws
holiday,🙏🦃,Thanksgiving
holiday,🎄✨🎁,Christmas
words,2️⃣4️⃣✨🗓,Advent Calendar
words,✋✌️✊,paper scissors rock
music,🏝🏠🎵,Tropical House
music,🏠🎵,House
music,🕺🎵,Disco
music,🎻🎹🎵,Classical
music,🔌🕺🎵,EDM
music,🦛🐰🎵,Hip Hop
music,🥁🔵🎵,R&B
music,🔵🎵,Blues
music,🍿🎵,Pop
music,🇯🇲🎵,Reggae
music,🇰🇷🎵,Kpop
Food,🌜🍰,Mooncake
Food,🇻🇳🍜,Pho
words,🟩🏠,Greenhouse
words,🪐🌟🔭,Astronomy
words,🚃🛤🛤,Train tracks
words,🇯🇵🚅,Shinkansen
words,🎪🎠,Carousel
words,🥇😘,first kiss
